series_index,group_tag,query_tag,label_tag,sample_count
1,2,854,56,2017
2,2,272,56,2017
3,2,286,56,2017
4,2,905,56,2017
5,2,44,56,2017
6,2,1129,56,2017
7,2,262,56,2017
8,2,520,56,2017
9,2,887,56,2017
10,2,309,56,2017
11,2,150,56,2017
12,2,1120,56,2017
13,2,804,56,2017
14,2,629,56,2017
15,2,85,56,2017
16,2,515,56,2017
17,2,489,56,2017
18,2,197,56,2017
19,2,172,56,2017
20,2,114,56,2017
21,2,669,56,2017
22,2,994,56,2017
23,2,650,56,2017
24,2,269,56,2017
25,2,689,56,2017
26,2,910,56,2017
27,2,84,56,2017
28,2,79,56,2017
29,2,4,56,2017
30,2,945,56,2017
31,2,1058,56,2017
32,2,357,56,2017
33,2,450,56,2017
34,2,843,56,2017
35,2,94,56,2017
36,2,794,56,2017
37,2,154,56,2017
38,2,15,56,2017
39,2,383,56,2017
40,2,683,56,2017
41,2,329,69,2017
42,2,391,56,2017
43,2,228,56,2017
44,2,443,56,2017
45,2,366,56,2017
46,2,253,56,2017
47,2,1067,56,2017
48,2,130,56,2017
49,2,112,56,2017
50,2,54,56,2017
51,2,904,56,2017
52,2,647,56,2017
53,2,712,56,2017
54,2,624,56,2017
55,2,614,56,2017
56,2,185,56,2017
57,2,1060,51,2017
58,2,1060,67,2017
59,2,626,56,2017
60,2,155,56,2017
61,2,941,56,2017
62,2,353,56,2017
63,2,342,56,2017
64,2,148,56,2017
65,2,864,56,2017
66,2,325,56,2017
67,2,76,56,2017
68,2,229,56,2017
69,2,1101,56,2017
70,2,534,56,2017
71,2,35,56,2017
72,2,537,56,2017
73,2,207,56,2017
74,2,499,56,2017
75,2,714,56,2017
76,2,778,56,2017
77,2,1034,56,2017
78,2,498,56,2017
79,2,1041,22,2017
80,2,588,22,2015
81,2,337,45,2017
82,2,184,45,2015
83,2,869,22,2010
84,2,717,22,2010
85,2,146,22,2017
86,2,774,22,2015
87,2,798,42,2017
88,2,829,42,2015
89,2,659,42,2015
90,2,952,42,2017
91,2,293,42,2015
92,2,912,42,2015
93,2,619,42,2015
94,2,964,42,2015
95,2,538,42,2017
96,2,336,42,2015
97,2,349,42,2015
98,2,955,42,2017
99,2,1118,42,2015
100,2,702,42,2015
101,2,1031,42,2015
102,2,797,42,2015
103,2,652,42,2015
104,2,681,42,2015
105,2,439,42,2015
106,2,31,42,2015
107,2,1066,42,2015
108,2,83,42,2017
109,2,918,42,2015
110,2,583,42,2017
111,2,734,42,2015
112,2,1024,42,2015
113,2,30,42,2015
114,2,276,42,2015
115,2,605,42,2015
116,2,1056,42,2015
117,2,1065,42,2015
118,2,655,42,2015
119,2,993,42,2015
120,2,235,42,2015
121,2,5,42,2015
122,2,999,18,2017
123,2,999,19,2017
124,2,999,54,2017
125,2,999,95,2017
126,2,999,110,2017
127,2,999,111,2017
128,2,297,18,2015
129,2,297,19,2015
130,2,297,54,2015
131,2,297,95,2015
132,2,297,110,2015
133,2,297,111,2015
134,2,627,4,2017
135,2,627,8,2007
136,2,627,11,2017
137,2,627,12,2017
138,2,627,27,2017
139,2,627,55,2017
140,2,627,57,2017
141,2,627,65,2017
142,2,627,75,2017
143,2,627,80,2017
144,2,627,98,2017
145,2,627,103,2017
146,2,627,107,2017
147,2,627,112,2017
148,2,300,4,2015
149,2,300,11,2015
150,2,300,12,2015
151,2,300,27,2015
152,2,300,55,2015
153,2,300,57,2015
154,2,300,65,2015
155,2,300,75,2002
156,2,300,80,2015
157,2,300,98,2015
158,2,300,103,2015
159,2,300,107,2015
160,2,300,112,2015
161,2,584,18,2010
162,2,584,19,2010
163,2,584,54,2010
164,2,584,95,2010
165,2,584,110,2010
166,2,584,111,2010
167,2,239,18,2010
168,2,239,19,2010
169,2,239,54,2010
170,2,239,95,2010
171,2,239,110,2010
172,2,239,111,2010
173,2,740,18,2017
174,2,740,19,2017
175,2,740,54,2017
176,2,740,95,2017
177,2,740,110,2017
178,2,740,111,2017
179,2,980,18,2015
180,2,980,19,2015
181,2,980,54,2015
182,2,980,95,2015
183,2,980,110,2015
184,2,980,111,2015
185,2,351,42,2017
186,2,783,42,2015
187,2,1078,42,2015
188,2,75,42,2015
189,2,1004,42,2015
190,2,844,42,2015
191,2,1135,42,2015
192,2,18,42,2015
193,2,409,42,2015
194,2,1040,42,2017
195,2,424,42,2015
196,2,1006,34,2003
